label,tag
omni0010,Arcadian/character10
omni0011,Arcadian/character11
omni0012,Arcadian/character12
omni0013,Arcadian/character13
omni0014,Arcadian/character14
omni0015,Arcadian/character15
omni0016,Arcadian/character16
omni0017,Arcadian/character17
omni0018,Arcadian/character18
omni0019,Arcadian/character19
omni0020,Arcadian/character20
omni0021,Arcadian/character21
omni0022,Arcadian/character22
omni0023,Arcadian/character23
omni0024,Arcadian/character24
omni0025,Arcadian/character25
omni0026,Arcadian/character26
omni0027,Armenian/character01
omni0028,Armenian/character02
omni0029,Armenian/character03
omni0030,Armenian/character04
omni0031,Armenian/character05
omni0032,Armenian/character06
omni0033,Armenian/character07
omni0034,Armenian/character08
omni0035,Armenian/character09
omni0036,Armenian/character10
omni0037,Armenian/character11
omni0038,Armenian/character12
omni0039,Armenian/character13
omni0040,Armenian/character14
omni0041,Armenian/character15
omni0042,Armenian/character16
omni0043,Armenian/character17
omni0044,Armenian/character18
omni0045,Armenian/character19
omni0046,Armenian/character20
omni0047,Armenian/character21
omni0048,Armenian/character22
omni0049,Armenian/character23
omni0050,Armenian/character24
omni0051,Armenian/character25
omni0052,Armenian/character26
omni0053,Armenian/character27
omni0054,Armenian/character28
omni0055,Armenian/character29
omni0056,Armenian/character30
omni0057,Armenian/character31
omni0058,Armenian/character32
omni0059,Armenian/character33
omni0060,Armenian/character34
omni0061,Armenian/character35
omni0062,Armenian/character36
omni0063,Armenian/character37
omni0064,Armenian/character38
omni0065,Armenian/character39
omni0066,Armenian/character40
omni0067,Armenian/character41
omni0068,Asomtavruli_(Georgian)/character01
omni0069,Asomtavruli_(Georgian)/character02
omni0070,Asomtavruli_(Georgian)/character03
omni0071,Asomtavruli_(Georgian)/character04
omni0072,Asomtavruli_(Georgian)/character05
omni0073,Asomtavruli_(Georgian)/character06
omni0074,Asomtavruli_(Georgian)/character07
omni0075,Asomtavruli_(Georgian)/character08
omni0076,Asomtavruli_(Georgian)/character09
omni0077,Asomtavruli_(Georgian)/character10
omni0078,Asomtavruli_(Georgian)/character11
omni0079,Asomtavruli_(Georgian)/character12
omni0080,Asomtavruli_(Georgian)/character13
omni0081,Asomtavruli_(Georgian)/character14
omni0082,Asomtavruli_(Georgian)/character15
omni0083,Asomtavruli_(Georgian)/character16
omni0084,Asomtavruli_(Georgian)/character17
omni0085,Asomtavruli_(Georgian)/character18
omni0086,Asomtavruli_(Georgian)/character19
omni0087,Asomtavruli_(Georgian)/character20
omni0088,Asomtavruli_(Georgian)/character21
omni0089,Asomtavruli_(Georgian)/character22
omni0090,Asomtavruli_(Georgian)/character23
omni0091,Asomtavruli_(Georgian)/character24
omni0092,Asomtavruli_(Georgian)/character25
omni0093,Asomtavruli_(Georgian)/character26
omni0094,Asomtavruli_(Georgian)/character27
omni0095,Asomtavruli_(Georgian)/character28
omni0096,Asomtavruli_(Georgian)/character29
omni0097,Asomtavruli_(Georgian)/character30
omni0098,Asomtavruli_(Georgian)/character31
omni0099,Asomtavruli_(Georgian)/character32
omni0100,Asomtavruli_(Georgian)/character33
omni0101,Asomtavruli_(Georgian)/character34
omni0102,Asomtavruli_(Georgian)/character35
omni0103,Asomtavruli_(Georgian)/character36
omni0104,Asomtavruli_(Georgian)/character37
omni0105,Asomtavruli_(Georgian)/character38
omni0106,Asomtavruli_(Georgian)/character39
omni0107,Asomtavruli_(Georgian)/character40
omni0985,Atemayar_Qelisayer/character01
omni0986,Atemayar_Qelisayer/character02
omni0987,Atemayar_Qelisayer/character03
omni0988,Atemayar_Qelisayer/character04
omni0989,Atemayar_Qelisayer/character05
omni0990,Atemayar_Qelisayer/character06
omni0991,Atemayar_Qelisayer/character07
omni0992,Atemayar_Qelisayer/character08
omni0993,Atemayar_Qelisayer/character09
omni0994,Atemayar_Qelisayer/character10
omni0995,Atemayar_Qelisayer/character11
omni0996,Atemayar_Qelisayer/character12
omni0997,Atemayar_Qelisayer/character13
omni0998,Atemayar_Qelisayer/character14
omni0999,Atemayar_Qelisayer/character15
omni1000,Atemayar_Qelisayer/character16
omni1001,Atemayar_Qelisayer/character17
omni1002,Atemayar_Qelisayer/character18
omni1003,Atemayar_Qelisayer/character19
omni1004,Atemayar_Qelisayer/character20
omni1005,Atemayar_Qelisayer/character21
omni1006,Atemayar_Qelisayer/character22
omni1007,Atemayar_Qelisayer/character23
omni1008,Atemayar_Qelisayer/character24
omni1009,Atemayar_Qelisayer/character25
omni1010,Atemayar_Qelisayer/character26
omni1011,Atlantean/character01
omni1012,Atlantean/character02
omni1013,Atlantean/character03
omni1014,Atlantean/character04
omni1015,Atlantean/character05
omni1016,Atlantean/character06
omni1017,Atlantean/character07
omni1018,Atlantean/character08
omni1019,Atlantean/character09
omni1020,Atlantean/character10
omni1021,Atlantean/character11
omni1022,Atlantean/character12
omni1023,Atlantean/character13
omni1024,Atlantean/character14
omni1025,Atlantean/character15
omni1026,Atlantean/character16
omni1027,Atlantean/character17
omni1028,Atlantean/character18
omni1029,Atlantean/character19
omni1030,Atlantean/character20
omni1031,Atlantean/character21
omni1032,Atlantean/character22
omni1033,Atlantean/character23
omni1034,Atlantean/character24
omni1035,Atlantean/character25
omni1036,Atlantean/character26
omni1037,Aurek-Besh/character01
omni1038,Aurek-Besh/character02
omni1039,Aurek-Besh/character03
omni1040,Aurek-Besh/character04
omni1041,Aurek-Besh/character05
omni1042,Aurek-Besh/character06
omni1043,Aurek-Besh/character07
omni1044,Aurek-Besh/character08
omni1045,Aurek-Besh/character09
omni1046,Aurek-Besh/character10
omni1047,Aurek-Besh/character11
omni1048,Aurek-Besh/character12
omni1049,Aurek-Besh/character13
omni1050,Aurek-Besh/character14
omni1051,Aurek-Besh/character15
omni1052,Aurek-Besh/character16
omni1053,Aurek-Besh/character17
omni1054,Aurek-Besh/character18
omni1055,Aurek-Besh/character19
omni1056,Aurek-Besh/character20
omni1057,Aurek-Besh/character21
omni1058,Aurek-Besh/character22
omni1059,Aurek-Besh/character23
omni1060,Aurek-Besh/character24
omni1061,Aurek-Besh/character25
omni1062,Aurek-Besh/character26
omni1063,Avesta/character01
omni1064,Avesta/character02
omni1065,Avesta/character03
omni1066,Avesta/character04
omni1067,Avesta/character05
omni1068,Avesta/character06
omni1069,Avesta/character07
omni1070,Avesta/character08
omni1071,Avesta/character09
omni1072,Avesta/character10
omni1073,Avesta/character11
omni1074,Avesta/character12
omni1075,Avesta/character13
omni1076,Avesta/character14
omni1077,Avesta/character15
omni1078,Avesta/character16
omni1079,Avesta/character17
omni1080,Avesta/character18
omni1081,Avesta/character19
omni1082,Avesta/character20
omni1083,Avesta/character21
omni1084,Avesta/character22
omni1085,Avesta/character23
omni1086,Avesta/character24
omni1087,Avesta/character25
omni1088,Avesta/character26
omni0108,Balinese/character01
omni0109,Balinese/character02
omni0110,Balinese/character03
omni0111,Balinese/character04
omni0112,Balinese/character05
omni0113,Balinese/character06
omni0114,Balinese/character07
omni0115,Balinese/character08
omni0116,Balinese/character09
omni0117,Balinese/character10
omni0118,Balinese/character11
omni0119,Balinese/character12
omni0120,Balinese/character13
omni0121,Balinese/character14
omni0122,Balinese/character15
omni0123,Balinese/character16
omni0124,Balinese/character17
omni0125,Balinese/character18
omni0126,Balinese/character19
omni0127,Balinese/character20
omni0128,Balinese/character21
omni0129,Balinese/character22
omni0130,Balinese/character23
omni0131,Balinese/character24
omni0132,Bengali/character01
omni0133,Bengali/character02
omni0134,Bengali/character03
omni0135,Bengali/character04
omni0136,Bengali/character05
omni0137,Bengali/character06
omni0138,Bengali/character07
omni0139,Bengali/character08
omni0140,Bengali/character09
omni0141,Bengali/character10
omni0142,Bengali/character11
omni0143,Bengali/character12
omni0144,Bengali/character13
omni0145,Bengali/character14
omni0146,Bengali/character15
omni0147,Bengali/character16
omni0148,Bengali/character17
omni0149,Bengali/character18
omni0150,Bengali/character19
omni0151,Bengali/character20
omni0152,Bengali/character21
omni0153,Bengali/character22
omni0154,Bengali/character23
omni0155,Bengali/character24
omni0156,Bengali/character25
omni0157,Bengali/character26
omni0158,Bengali/character27
omni0159,Bengali/character28
omni0160,Bengali/character29
omni0161,Bengali/character30
omni0162,Bengali/character31
omni0163,Bengali/character32
omni0164,Bengali/character33
omni0165,Bengali/character34
omni0166,Bengali/character35
omni0167,Bengali/character36
omni0168,Bengali/character37
omni0169,Bengali/character38
omni0170,Bengali/character39
omni0171,Bengali/character40
omni0172,Bengali/character41
omni0173,Bengali/character42
omni0174,Bengali/character43
omni0175,Bengali/character44
omni0176,Bengali/character45
omni0177,Bengali/character46
omni0178,Blackfoot_(Canadian_Aboriginal_Syllabics)/character01
omni0179,Blackfoot_(Canadian_Aboriginal_Syllabics)/character02
omni0180,Blackfoot_(Canadian_Aboriginal_Syllabics)/character03
omni0181,Blackfoot_(Canadian_Aboriginal_Syllabics)/character04
omni0182,Blackfoot_(Canadian_Aboriginal_Syllabics)/character05
omni0183,Blackfoot_(Canadian_Aboriginal_Syllabics)/character06
omni0184,Blackfoot_(Canadian_Aboriginal_Syllabics)/character07
omni0185,Blackfoot_(Canadian_Aboriginal_Syllabics)/character08
omni0186,Blackfoot_(Canadian_Aboriginal_Syllabics)/character09
omni0187,Blackfoot_(Canadian_Aboriginal_Syllabics)/character10
omni0188,Blackfoot_(Canadian_Aboriginal_Syllabics)/character11
omni0189,Blackfoot_(Canadian_Aboriginal_Syllabics)/character12
omni0190,Blackfoot_(Canadian_Aboriginal_Syllabics)/character13
omni0191,Blackfoot_(Canadian_Aboriginal_Syllabics)/character14
omni0192,Braille/character01
omni0193,Braille/character02
omni0194,Braille/character03
omni0195,Braille/character04
omni0196,Braille/character05
omni0197,Braille/character06
omni0198,Braille/character07
omni0199,Braille/character08
omni0200,Braille/character09
omni0201,Braille/character10
omni0202,Braille/character11
omni0203,Braille/character12
omni0204,Braille/character13
omni0205,Braille/character14
omni0206,Braille/character15
omni0207,Braille/character16
omni0208,Braille/character17
omni0209,Braille/character18
omni0210,Braille/character19
omni0211,Braille/character20
omni0212,Braille/character21
omni0213,Braille/character22
omni0214,Braille/character23
omni0215,Braille/character24
omni0216,Braille/character25
omni0217,Braille/character26
omni0770,Burmese_(Myanmar)/character01
omni0771,Burmese_(Myanmar)/character02
omni0772,Burmese_(Myanmar)/character03
omni0773,Burmese_(Myanmar)/character04
omni0774,Burmese_(Myanmar)/character05
omni0775,Burmese_(Myanmar)/character06
omni0776,Burmese_(Myanmar)/character07
omni0777,Burmese_(Myanmar)/character08
omni0778,Burmese_(Myanmar)/character09
omni0779,Burmese_(Myanmar)/character10
omni0780,Burmese_(Myanmar)/character11
omni0781,Burmese_(Myanmar)/character12
omni0782,Burmese_(Myanmar)/character13
omni0783,Burmese_(Myanmar)/character14
omni0784,Burmese_(Myanmar)/character15
omni0785,Burmese_(Myanmar)/character16
omni0786,Burmese_(Myanmar)/character17
omni0787,Burmese_(Myanmar)/character18
omni0788,Burmese_(Myanmar)/character19
omni0789,Burmese_(Myanmar)/character20
omni0790,Burmese_(Myanmar)/character21
omni0791,Burmese_(Myanmar)/character22
omni0792,Burmese_(Myanmar)/character23
omni0793,Burmese_(Myanmar)/character24
omni0794,Burmese_(Myanmar)/character25
omni0795,Burmese_(Myanmar)/character26
omni0796,Burmese_(Myanmar)/character27
omni0797,Burmese_(Myanmar)/character28
omni0798,Burmese_(Myanmar)/character29
omni0799,Burmese_(Myanmar)/character30
omni0800,Burmese_(Myanmar)/character31
omni0801,Burmese_(Myanmar)/character32
omni0802,Burmese_(Myanmar)/character33
omni0803,Burmese_(Myanmar)/character34
omni0218,Cyrillic/character01
omni0219,Cyrillic/character02
omni0220,Cyrillic/character03
omni0221,Cyrillic/character04
omni0222,Cyrillic/character05
omni0223,Cyrillic/character06
omni0224,Cyrillic/character07
omni0225,Cyrillic/character08
omni0226,Cyrillic/character09
omni0227,Cyrillic/character10
omni0228,Cyrillic/character11
omni0229,Cyrillic/character12
omni0230,Cyrillic/character13
omni0231,Cyrillic/character14
omni0232,Cyrillic/character15
omni0233,Cyrillic/character16
omni0234,Cyrillic/character17
omni0235,Cyrillic/character18
omni0236,Cyrillic/character19
omni0237,Cyrillic/character20
omni0238,Cyrillic/character21
omni0239,Cyrillic/character22
omni0240,Cyrillic/character23
omni0241,Cyrillic/character24
omni0242,Cyrillic/character25
omni0243,Cyrillic/character26
omni0244,Cyrillic/character27
omni0245,Cyrillic/character28
omni0246,Cyrillic/character29
omni0247,Cyrillic/character30
omni0248,Cyrillic/character31
omni0249,Cyrillic/character32
omni0250,Cyrillic/character33
omni0251,Early_Aramaic/character01
omni0252,Early_Aramaic/character02
omni0253,Early_Aramaic/character03
omni0254,Early_Aramaic/character04
omni0255,Early_Aramaic/character05
omni0256,Early_Aramaic/character06
omni0257,Early_Aramaic/character07
omni0258,Early_Aramaic/character08
omni0259,Early_Aramaic/character09
omni0260,Early_Aramaic/character10
omni0261,Early_Aramaic/character11
omni0262,Early_Aramaic/character12
omni0263,Early_Aramaic/character13
omni0264,Early_Aramaic/character14
omni0265,Early_Aramaic/character15
omni0266,Early_Aramaic/character16
omni0267,Early_Aramaic/character17
omni0268,Early_Aramaic/character18
omni0269,Early_Aramaic/character19
omni0270,Early_Aramaic/character20
omni0271,Early_Aramaic/character21
omni0272,Early_Aramaic/character22
omni0325,Futurama/character01
omni0326,Futurama/character02
omni0327,Futurama/character03
omni0328,Futurama/character04
omni0329,Futurama/character05
omni0330,Futurama/character06
omni0331,Futurama/character07
omni0332,Futurama/character08
omni0333,Futurama/character09
omni0334,Futurama/character10
omni0335,Futurama/character11
omni0336,Futurama/character12
omni0337,Futurama/character13
omni0338,Futurama/character14
omni0339,Futurama/character15
omni0340,Futurama/character16
omni0341,Futurama/character17
omni0342,Futurama/character18
omni0343,Futurama/character19
omni0344,Futurama/character20
omni0345,Futurama/character21
omni0346,Futurama/character22
omni0347,Futurama/character23
omni0348,Futurama/character24
omni0349,Futurama/character25
omni0350,Futurama/character26
omni1089,Ge_ez/character01
omni1090,Ge_ez/character02
omni1091,Ge_ez/character03
omni1092,Ge_ez/character04
omni1093,Ge_ez/character05
omni1094,Ge_ez/character06
omni1095,Ge_ez/character07
omni1096,Ge_ez/character08
omni1097,Ge_ez/character09
omni1098,Ge_ez/character10
omni1099,Ge_ez/character11
omni1100,Ge_ez/character12
omni1101,Ge_ez/character13
omni1102,Ge_ez/character14
omni1103,Ge_ez/character15
omni1104,Ge_ez/character16
omni1105,Ge_ez/character17
omni1106,Ge_ez/character18
omni1107,Ge_ez/character19
omni1108,Ge_ez/character20
omni1109,Ge_ez/character21
omni1110,Ge_ez/character22
omni1111,Ge_ez/character23
omni1112,Ge_ez/character24
omni1113,Ge_ez/character25
omni1114,Ge_ez/character26
omni1115,Glagolitic/character01
omni1116,Glagolitic/character02
omni1117,Glagolitic/character03
omni1118,Glagolitic/character04
omni1119,Glagolitic/character05
omni1120,Glagolitic/character06
omni1121,Glagolitic/character07
omni1122,Glagolitic/character08
omni1123,Glagolitic/character09
omni1124,Glagolitic/character10
omni1125,Glagolitic/character11
omni1126,Glagolitic/character12
omni1127,Glagolitic/character13
omni1128,Glagolitic/character14
omni1129,Glagolitic/character15
omni1130,Glagolitic/character16
omni1131,Glagolitic/character17
omni1132,Glagolitic/character18
omni1133,Glagolitic/character19
omni1134,Glagolitic/character20
omni1135,Glagolitic/character21
omni1136,Glagolitic/character22
omni1137,Glagolitic/character23
omni1138,Glagolitic/character24
omni1139,Glagolitic/character25
omni1140,Glagolitic/character26
omni1141,Glagolitic/character27
omni1142,Glagolitic/character28
omni1143,Glagolitic/character29
omni1144,Glagolitic/character30
omni1145,Glagolitic/character31
omni1146,Glagolitic/character32
omni1147,Glagolitic/character33
omni1148,Glagolitic/character34
omni1149,Glagolitic/character35
omni1150,Glagolitic/character36
omni1151,Glagolitic/character37
omni1152,Glagolitic/character38
omni1153,Glagolitic/character39
omni1154,Glagolitic/character40
omni1155,Glagolitic/character41
omni1156,Glagolitic/character42
omni1157,Glagolitic/character43
omni1158,Glagolitic/character44
omni1159,Glagolitic/character45
omni0351,Grantha/character01
omni0352,Grantha/character02
omni0353,Grantha/character03
omni0354,Grantha/character04
omni0355,Grantha/character05
omni0356,Grantha/character06
omni0357,Grantha/character07
omni0358,Grantha/character08
omni0359,Grantha/character09
omni0360,Grantha/character10
omni0361,Grantha/character11
omni0362,Grantha/character12
omni0363,Grantha/character13
omni0364,Grantha/character14
omni0365,Grantha/character15
omni0366,Grantha/character16
omni0367,Grantha/character17
omni0368,Grantha/character18
omni0369,Grantha/character19
omni0370,Grantha/character20
omni0371,Grantha/character21
omni0372,Grantha/character22
omni0373,Grantha/character23
omni0374,Grantha/character24
omni0375,Grantha/character25
omni0376,Grantha/character26
omni0377,Grantha/character27
omni0378,Grantha/character28
omni0379,Grantha/character29
omni0380,Grantha/character30
omni0381,Grantha/character31
omni0382,Grantha/character32
omni0383,Grantha/character33
omni0384,Grantha/character34
omni0385,Grantha/character35
omni0386,Grantha/character36
omni0387,Grantha/character37
omni0388,Grantha/character38
omni0389,Grantha/character39
omni0390,Grantha/character40
omni0391,Grantha/character41
omni0392,Grantha/character42
omni0393,Grantha/character43
omni0394,Greek/character01
omni0395,Greek/character02
omni0396,Greek/character03
omni0397,Greek/character04
omni0398,Greek/character05
omni0399,Greek/character06
omni0400,Greek/character07
omni0401,Greek/character08
omni0402,Greek/character09
omni0403,Greek/character10
omni0404,Greek/character11
omni0405,Greek/character12
omni0406,Greek/character13
omni0407,Greek/character14
omni0408,Greek/character15
omni0409,Greek/character16
omni0410,Greek/character17
omni0411,Greek/character18
omni0412,Greek/character19
omni0413,Greek/character20
omni0414,Greek/character21
omni0415,Greek/character22
omni0416,Greek/character23
omni0417,Greek/character24
omni0418,Gujarati/character01
omni0419,Gujarati/character02
omni0420,Gujarati/character03
omni0421,Gujarati/character04
omni0422,Gujarati/character05
omni0423,Gujarati/character06
omni0424,Gujarati/character07
omni0425,Gujarati/character08
omni0426,Gujarati/character09
omni0427,Gujarati/character10
omni0428,Gujarati/character11
omni0429,Gujarati/character12
omni0430,Gujarati/character13
omni0431,Gujarati/character14
omni0432,Gujarati/character15
omni0433,Gujarati/character16
omni0434,Gujarati/character17
omni0435,Gujarati/character18
omni0436,Gujarati/character19
omni0437,Gujarati/character20
omni0438,Gujarati/character21
omni0439,Gujarati/character22
omni0440,Gujarati/character23
omni0441,Gujarati/character24
omni0442,Gujarati/character25
omni0443,Gujarati/character26
omni0444,Gujarati/character27
omni0445,Gujarati/character28
omni0446,Gujarati/character29
omni0447,Gujarati/character30
omni0448,Gujarati/character31
omni0449,Gujarati/character32
omni0450,Gujarati/character33
omni0451,Gujarati/character34
omni0452,Gujarati/character35
omni0453,Gujarati/character36
omni0454,Gujarati/character37
omni0455,Gujarati/character38
omni0456,Gujarati/character39
omni0457,Gujarati/character40
omni0458,Gujarati/character41
omni0459,Gujarati/character42
omni0460,Gujarati/character43
omni0461,Gujarati/character44
omni0462,Gujarati/character45
omni0463,Gujarati/character46
omni0464,Gujarati/character47
omni0465,Gujarati/character48
omni1160,Gurmukhi/character01
omni1161,Gurmukhi/character02
omni1162,Gurmukhi/character03
omni1163,Gurmukhi/character04
omni1164,Gurmukhi/character05
omni1165,Gurmukhi/character06
omni1166,Gurmukhi/character07
omni1167,Gurmukhi/character08
omni1168,Gurmukhi/character09
omni1169,Gurmukhi/character10
omni1170,Gurmukhi/character11
omni1171,Gurmukhi/character12
omni1172,Gurmukhi/character13
omni1173,Gurmukhi/character14
omni1174,Gurmukhi/character15
omni1175,Gurmukhi/character16
omni1176,Gurmukhi/character17
omni1177,Gurmukhi/character18
omni1178,Gurmukhi/character19
omni1179,Gurmukhi/character20
omni1180,Gurmukhi/character21
omni1181,Gurmukhi/character22
omni1182,Gurmukhi/character23
omni1183,Gurmukhi/character24
omni1184,Gurmukhi/character25
omni1185,Gurmukhi/character26
omni1186,Gurmukhi/character27
omni1187,Gurmukhi/character28
omni1188,Gurmukhi/character29
omni1189,Gurmukhi/character30
omni1190,Gurmukhi/character31
omni1191,Gurmukhi/character32
omni1192,Gurmukhi/character33
omni1193,Gurmukhi/character34
omni1194,Gurmukhi/character35
omni1195,Gurmukhi/character36
omni1196,Gurmukhi/character37
omni1197,Gurmukhi/character38
omni1198,Gurmukhi/character39
omni1199,Gurmukhi/character40
omni1200,Gurmukhi/character41
omni1201,Gurmukhi/character42
omni1202,Gurmukhi/character43
omni1203,Gurmukhi/character44
omni1204,Gurmukhi/character45
omni0466,Hebrew/character01
omni0467,Hebrew/character02
omni0468,Hebrew/character03
omni0469,Hebrew/character04
omni0470,Hebrew/character05
omni0471,Hebrew/character06
omni0472,Hebrew/character07
omni0473,Hebrew/character08
omni0474,Hebrew/character09
omni0475,Hebrew/character10
omni0476,Hebrew/character11
omni0477,Hebrew/character12
omni0478,Hebrew/character13
omni0479,Hebrew/character14
omni0480,Hebrew/character15
omni0481,Hebrew/character16
omni0482,Hebrew/character17
omni0483,Hebrew/character18
omni0484,Hebrew/character19
omni0485,Hebrew/character20
omni0486,Hebrew/character21
omni0487,Hebrew/character22
omni0540,Inuktitut_(Canadian_Aboriginal_Syllabics)/character01
omni0541,Inuktitut_(Canadian_Aboriginal_Syllabics)/character02
omni0542,Inuktitut_(Canadian_Aboriginal_Syllabics)/character03
omni0543,Inuktitut_(Canadian_Aboriginal_Syllabics)/character04
omni0544,Inuktitut_(Canadian_Aboriginal_Syllabics)/character05
omni0545,Inuktitut_(Canadian_Aboriginal_Syllabics)/character06
omni0546,Inuktitut_(Canadian_Aboriginal_Syllabics)/character07
omni0547,Inuktitut_(Canadian_Aboriginal_Syllabics)/character08
omni0548,Inuktitut_(Canadian_Aboriginal_Syllabics)/character09
omni0549,Inuktitut_(Canadian_Aboriginal_Syllabics)/character10
omni0550,Inuktitut_(Canadian_Aboriginal_Syllabics)/character11
omni0551,Inuktitut_(Canadian_Aboriginal_Syllabics)/character12
omni0552,Inuktitut_(Canadian_Aboriginal_Syllabics)/character13
omni0553,Inuktitut_(Canadian_Aboriginal_Syllabics)/character14
omni0554,Inuktitut_(Canadian_Aboriginal_Syllabics)/character15
omni0555,Inuktitut_(Canadian_Aboriginal_Syllabics)/character16
omni0488,Japanese_(hiragana)/character01
omni0489,Japanese_(hiragana)/character02
omni0490,Japanese_(hiragana)/character03
omni0491,Japanese_(hiragana)/character04
omni0492,Japanese_(hiragana)/character05
omni0493,Japanese_(hiragana)/character06
omni0494,Japanese_(hiragana)/character07
omni0495,Japanese_(hiragana)/character08
omni0496,Japanese_(hiragana)/character09
omni0497,Japanese_(hiragana)/character10
omni0498,Japanese_(hiragana)/character11
omni0499,Japanese_(hiragana)/character12
omni0500,Japanese_(hiragana)/character13
omni0501,Japanese_(hiragana)/character14
omni0502,Japanese_(hiragana)/character15
omni0503,Japanese_(hiragana)/character16
omni0504,Japanese_(hiragana)/character17
omni0505,Japanese_(hiragana)/character18
omni0506,Japanese_(hiragana)/character19
omni0507,Japanese_(hiragana)/character20
omni0508,Japanese_(hiragana)/character21
omni0509,Japanese_(hiragana)/character22
omni0510,Japanese_(hiragana)/character23
omni0511,Japanese_(hiragana)/character24
omni0512,Japanese_(hiragana)/character25
omni0513,Japanese_(hiragana)/character26
omni0514,Japanese_(hiragana)/character27
omni0515,Japanese_(hiragana)/character28
omni0516,Japanese_(hiragana)/character29
omni0517,Japanese_(hiragana)/character30
omni0518,Japanese_(hiragana)/character31
omni0519,Japanese_(hiragana)/character32
omni0520,Japanese_(hiragana)/character33
omni0521,Japanese_(hiragana)/character34
omni0522,Japanese_(hiragana)/character35
omni0523,Japanese_(hiragana)/character36
omni0524,Japanese_(hiragana)/character37
omni0525,Japanese_(hiragana)/character38
omni0526,Japanese_(hiragana)/character39
omni0527,Japanese_(hiragana)/character40
omni0528,Japanese_(hiragana)/character41
omni0529,Japanese_(hiragana)/character42
omni0530,Japanese_(hiragana)/character43
omni0531,Japanese_(hiragana)/character44
omni0532,Japanese_(hiragana)/character45
omni0533,Japanese_(hiragana)/character46
omni0534,Japanese_(hiragana)/character47
omni0535,Japanese_(hiragana)/character48
omni0536,Japanese_(hiragana)/character49
omni0537,Japanese_(hiragana)/character50
omni0538,Japanese_(hiragana)/character51
omni0539,Japanese_(hiragana)/character52
omni0596,Japanese_(katakana)/character01
omni0597,Japanese_(katakana)/character02
omni0598,Japanese_(katakana)/character03
omni0599,Japanese_(katakana)/character04
omni0600,Japanese_(katakana)/character05
omni0601,Japanese_(katakana)/character06
omni0602,Japanese_(katakana)/character07
omni0603,Japanese_(katakana)/character08
omni0604,Japanese_(katakana)/character09
omni0605,Japanese_(katakana)/character10
omni0606,Japanese_(katakana)/character11
omni0607,Japanese_(katakana)/character12
